item_id_a,item_id_b,name_a,name_b,brand_a,brand_b,size_a,size_b,pl_a,pl_b,composite,stratum,label,reason,judge,tier,label_sonnet,reason_sonnet
2194374,1087303,"Kit Kat Milk Chocolate Wafer Snack Size Valentine's Candy, Bag 32 oz","Kit Kat Crisp Wafers, in Milk Chocolate, Snack Size",kitkat,kit kat,32oz,32oz,False,False,0.6817432579509587,ambig,1,"Same brand class (national/private), same product type (Kit Kat wafer snack in milk chocolate), and same size (32 oz); flavor/variant matches (milk chocolate).",gpt-5-nano,llm_accept,1,"Same brand (Kit Kat), same product type (milk chocolate wafer), same size (32oz), same format (snack size). Valentine's seasonal label is just a marketing modifier."
1929253,91288,"Great Value Pre-Sliced Plain Bagels, Rte, 20 oz, 6 Count","Wegmans Soft Plain Bagels, 6 Count",great value,wegmans,20oz,20oz,True,True,0.7608528628517608,ambig,0,Different store brands: Great Value vs Wegmans (both private-label but not the same brand class/brand).,gpt-5-nano,llm_accept,0,Different private label brands (Great Value vs Wegmans) — not interchangeable as they are distinct store brands from different retailers.
2066054,87892,"(4 pack) Marketside Ready to Heat Smoked & Seasoned Pulled Pork in BBQ Sauce Packaged Meal, 16 oz",Wegmans BBQ Pulled Pork with Memphis-Style BBQ Sauce,marketside,wegmans,16oz,16oz,True,True,0.7019604822585874,ambig,0,"Both are private-label and 16 oz, but product variant differs: A is a 4-pack ready-to-heat packaged meal, while B is a single Wegmans BBQ pulled pork with Memphis-style BBQ sauce.",gpt-5-nano,llm_accept,0,Different private label brands (Marketside vs Wegmans) — not interchangeable across retailers' own brands
1939151,1091078,"Dot's Pretzels BBQ Seasoned Pretzel Twists, 16 oz Family Size Bag","Dot's Homestyle Pretzels Pretzel Twists, Seasoned, BBQ Flavored",dot s pretzels,dot s homestyle pretzels,16oz,16oz,False,False,0.744653394348623,ambig,0,"Different product variants/flavors: BBQ Seasoned vs Homestyle Pretzels (BBQ Flavored described differently), so not interchangeable.",gpt-5-nano,llm_accept,1,"Same brand (Dot's Pretzels/Dot's Homestyle Pretzels are the same brand), same product type (pretzel twists), same flavor (BBQ seasoned), same size (16oz)"
283082,105165,"Hunts Tomato Paste, Perfect for Chili & Soups, 6 oz. Can",Hunt's Tomato Paste,hunts tomato,hunt s,6oz,6oz,False,False,0.6362395497004177,ambig,1,"Same brand class (national), same product type (tomato paste), same flavor/variant (tomato paste), and same size (6 oz).",gpt-5-nano,llm_accept,1,"Same brand (Hunt's), same product type (tomato paste), same size (6oz), both national label."
2258522,1087232,"Airheads Xtremes Belts, Hoppin Berry Flavor, Sweetly Sour Easter Candy, Regular Size, 2 oz Tray",Air Heads Xtreme Hoppin' Berry Belts,airheads,air heads,2oz,2oz,False,False,0.6495468185250065,ambig,1,"Same brand (national), same product type (Airheads Xtreme Hoppin' Berry Belts), same flavor/variant, and same size (2 oz).",gpt-5-nano,llm_accept,1,"Same brand (Airheads), same product type (Xtremes Belts), same flavor (Hoppin' Berry), same size (2oz), both national brand."
1929863,92660,"Great Value Medium Picante Salsa, 16 oz",Wegmans Medium Salsa,great value,wegmans,16oz,16oz,True,True,0.7297456096234787,ambig,1,Both are private-label 16 oz medium picante salsa (same variant/type: medium salsa/picante) from different private labels; size matches.,gpt-5-nano,llm_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6junQUyiKzBcwcmwnG'}"
1943565,104546,"Bush's Maple and Cured Bacon Baked Beans, Canned Beans, 28 oz",Bush's Best Maple & Cured Bacon Baked Beans,bush s maple,bush s best,28oz,28oz,False,False,0.7253228932578432,ambig,0,Different product variants/brand labels (Bush's Maple vs Bush's Best); sizes match but variant/label does not.,gpt-5-nano,llm_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6jsAtw243mffxtxgqm'}"
1915524,1725669,"Tony Chachere’s, Seasoning, Cajun, More Spice, 7 oz","Tony Chachere's Seasoning, Creole, More Spice",tony chacheres,tony chachere s,7oz,7oz,False,False,0.71873020271918,ambig,1,"Same brand class (national), same product (Tony Chachere’s seasoning), same variant/flavor ('More Spice'—Cajun/Creole), and same size (7 oz).",gpt-5-nano,llm_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6jrPmKVA8755JeNQHa'}"
1941452,114259,"Claritin Allergy Relief 24 Hour Non-Drowsy Loratadine Antihistamine Allergy Medicine Tablets, 30 Count","Claritin Antihistamine, Non-Drowsy, Original Prescription Strength, Tablets",claritin allergy,claritin,30ct,30ct,False,False,0.8260912944087617,high,1,"Same brand class (Claritin national), same product type (loratadine antihistamine tablets 24-hour/non-drowsy), same variant intent, and same size (30 count).",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6jrrYScNnJeZvbwKjJ'}"
2076259,114655,"Oral‑B Floss, Glide Ultra Deep Clean Floss Picks 75 Count","Oral-B Glide Dental Floss Picks with Scope Outlast, Mint",oral b floss,oral b,75ct,75ct,False,False,0.8258928568943757,high,0,"Floss pick variants differ: A is 'Glide Ultra Deep Clean' while B is 'Glide ... Scope Outlast, Mint'; brand class and size match but flavor/variant does not.",gpt-5-nano,verify_accept,0,"Different product variants: A is Glide Ultra Deep Clean Floss Picks, B is Glide with Scope Outlast Mint — different formulations/variants despite same brand and size."
1931520,101487,"Great Value #4 Cone Coffee Filters, 100 count",Wegmans #4 White Cone Coffee Filters,great value,wegmans,100ct,100ct,True,True,0.7899175531143547,high,0,Brand class and product identity differ: Great Value vs Wegmans (both private label) though size matches.,gpt-5-nano,verify_accept,0,Different private label brands (Great Value vs Wegmans) — private label products from different store chains are not interchangeable for price indexing purposes.
1929232,953753,"Great Value Pure Maple Syrup, 32 fl oz",Wegmans Pure Maple Syrup,great value,wegmans,32fl_oz,32fl_oz,True,True,0.7887610941273546,high,0,"Same size and both private-label, but different store brands (Great Value vs Wegmans) are not the same product brand-class.",gpt-5-nano,verify_accept,0,Different private label brands (Great Value vs Wegmans) — not interchangeable as they are distinct store brands from different retailers
