item_id_a,item_id_b
2205402,949226
2392236,110479
1925437,106301
2386172,950621
1951573,112153
2386174,112105
2202703,951395
2202705,112594
2202758,948950
2252388,107201
1951324,107824
2252775,112675
2057722,107824
2061357,109563
2274294,115135
1925444,2684709
2273584,109373
2200835,112825
2080716,111745
2090471,109885
2051374,111744
2259095,107915
1945699,112972
2261379,2684815
2260137,106836
2260199,948974
2260209,111423
2090474,109306
2061587,111752
1932787,114413
2270310,106425
2054403,107046
2052039,949309
2076120,948697
1945688,106306
2274291,951092
2054370,107119
2085051,109562
2260205,112972
2267076,106881
2054399,108293
2267308,115122
2267297,107183
1916079,951187
1932685,1085934
2392201,107046
2267093,107196
2061271,111477
1932681,111423
1938000,950297
2748937,111524
2061557,111022
2061296,108268
1932814,113046
1945669,112675
1948090,948695
2061278,111423
1945671,112594
2748902,111483
2384271,110897
1945721,115140
1932686,113891
2061314,108298
1947320,949140
2748942,110153
1945707,115147
1945706,112850
1927972,106589
1952219,2684815
2195746,107183
2061563,951259
1945670,112699
1945700,112800
2061322,951261
2061029,951395
2195742,115131
2061285,111423
1932837,950604
2054413,107148
2054395,107226
1927969,106425
1945718,111476
1945690,115122
2199990,113001
1945725,107183
2054423,107196
1925461,107460
2118253,114096
2090470,109881
1932709,114235
1932835,107130
1925446,107466
1952065,107178
1951574,112157
2054425,110708
1916080,107987
1938002,950300
2195745,114123
1949700,110897
2057312,110897
1951320,110897
1949703,107824
2075826,113748
2058073,108612
2273628,949812
2274237,112675
2268711,115147
372785,115642
2211951,948768
1925447,106301
2107569,1085951
2061799,108086
1916081,113647
2126968,107226
2386400,113108
1932710,111022
2202892,951253
2202732,113891
1932717,113448
1945682,115134
1932694,950624
2061306,107180
1927975,107178
1949488,107178
1932844,950557
1937983,109997
1945655,951092
1945656,950087
1945711,113389
2195747,111476
2061802,108174
1945723,115135
1945704,112836
1945653,106836
1932777,108268
2061619,114096
2061288,108086
2748932,111485
2748502,111523
2748943,111481
2061318,951262
1939710,113494
2118501,113628
2382887,106916
2061303,108294
2383432,113637
2748912,111386
2062033,107130
2383465,113635
1949884,948674
2126947,111692
2201220,950708
2073663,109563
2219672,108086
1947325,949140
1923748,110560
1945728,113787
1949887,948657
1932845,950557
1945708,108292
1932711,111477
1939702,950290
1945672,951100
2061749,948656
1923877,113169
1925474,106699
2262680,950618
2267299,115140
2267801,1085935
2386454,950688
2132233,110313
2268709,106546
2199160,110585
2384498,111413
2392189,113001
1945686,106546
2119121,951187
2091306,948674
2082673,113979
2267740,948656
2090473,109883
600006,109400
2085227,114142
2119909,1085952
1931864,950619
2123867,107364
2103574,2684772
2118896,950620
2120037,950709
370889,107386
2252392,113441
2124335,113108
2073409,950703
2124328,108016
366363,108000
2202769,950709
2124327,114739
2386126,106805
600148,113436
373476,106836
2126931,110708
2262679,113422
2259090,109770
2202704,113867
2095865,950688
373835,113936
2124333,113108
370172,113647
2061020,109403
2112774,1094760
2101084,113389
376551,2015021
584435,112722
2073412,112119
2106117,109304
372356,108000
367720,114695
2124331,113108
364125,114739
2118181,948948
2120743,110563
599949,109571
2108822,108941
2118916,951261
2127035,112891
2386434,108016
2259235,951188
2748935,111223
2127042,107148
2126928,108293
2386411,948677
2749089,108089
2748952,108090
2748929,108174
2386444,108087
2195575,108709
2195580,108706
1947323,949140
1945692,951102
2114913,950884
2061104,113647
1952064,106415
2260129,948974
2062029,951113
2124290,1085942
2073411,948951
2252333,950703
2750637,951113
2748881,111425
2749461,2684816
2748939,111486
2386372,109755
2085208,114437
2386427,950617
2195744,110600
2748948,111480
1932838,950618
2267292,2039738
2748541,2039737
2274293,115140
2386155,106881
2384310,949674
1912408,110563
2386251,951580
2386223,107243
2384434,949674
1951569,110600
2382203,115642
2392209,109776
2392211,108708
2082256,113001
2384548,951257
2386338,109305
2124282,107386
2386348,108016
2386366,950290
1937969,108941
2386401,114739
2123340,950614
2124339,113108
2072222,108885
2124270,109759
2386423,113108
2386435,111775
2124330,948703
2386442,950623
2392260,950492
2124271,950493
2124323,108797
2124324,114739
2061987,115352
2061994,115354
2124268,111226
2061293,107180
1942297,110600
1937975,106805
2061301,112891
1912411,110456
2061300,106701
2061706,109297
2054411,112895
1945673,951095
1927934,115629
2051219,111225
1927979,115642
2061723,950617
2260136,108100
1942295,108709
2061761,109755
1915198,948843
1915195,110313
1932740,950605
2220579,109370
2220581,113647
283944,91868
1940072,91562
957589,88850
2200643,1086986
283021,100568
283220,92472
283221,92825
2067285,1084123
2054486,98196
283739,94083
284061,97049
284215,99207
2081458,1087463
370037,100661
2258689,95918
356565,97616
285171,95462
2194605,101439
2071999,105846
2258212,100334
2204098,952437
1921383,952563
2092704,97506
2203969,1086933
2196672,1086955
1939844,102962
1940391,102649
2054396,95510
2054576,103199
2093889,952520
361472,104397
379133,96243
2071008,100463
1915176,103190
2071165,102989
1949146,99589
2194273,1086904
2066054,87892
2102912,95732
2065479,99038
2056257,98083
2220184,952084
2067706,101778
2220191,2017813
1944923,101648
2755992,1090724
2756031,90958
2755941,89599
2756033,90566
2127700,1087092
2070826,1091523
2067454,1084123
2196246,95567
2120420,104788
1942013,104914
2220999,101295
2221001,101307
1949817,102760
1949107,96270
1917405,103681
2221581,101358
1912815,2031059
2392541,102169
2071079,1703225
2387025,100389
2387195,102701
1947754,951722
1916436,953078
2071084,102836
2071145,951886
1916361,951898
1931987,951994
2223466,2137885
1940069,1884000
2053462,97356
2055731,104126
2127508,98209
363164,2137847
1917818,103317
2051599,1953959
1938110,99348
2387337,1089477
1912505,96789
2051552,98008
2051540,953610
1934584,1089477
2120937,104554
2051545,1855958
1934552,100895
1915657,99303
2111139,2047733
2198058,104364
2197692,101589
1934550,100748
1917404,97397
1929949,91747
1929978,1086293
2066097,93245
1929149,91793
1943466,1086563
1946831,93417
2052303,96695
1925941,92288
1933744,88987
1941112,93182
2070888,954850
1927104,102880
1941724,92703
2269098,92198
2121439,1084114
1946804,95189
1941725,954950
1941115,93123
1925949,92459
1930418,93430
2258775,92512
2070310,92345
1925930,1088184
1925928,91876
2070305,1088194
1915524,1725669
1925950,92701
1946796,95125
1942964,97304
2194548,954994
1946810,95142
1914787,954095
2068135,92378
2051539,951853
1943479,92969
1933001,102712
1933016,96750
1930889,91813
1929004,92745
1931085,92383
2068725,92880
1944694,2683571
1945590,87521
2262962,93109
2201959,2683738
2197774,1892963
1923995,952608
1932997,1146371
1929973,91810
1916031,92711
2054737,952695
1945594,87488
1917740,1089637
1917739,1089638
1921505,102861
2055647,97127
1918768,93017
2055341,1090222
1945770,101118
1940230,2682513
1913623,105361
1940330,98641
1927023,97128
2069318,104937
1918447,104234
1933037,95948
1919633,93241
1935624,103425
2065973,97930
2055556,104313
1944579,92805
1924204,1866136
1925277,105244
2065571,954679
1946198,958591
2200571,96889
1932981,102633
1940232,92415
1933019,104990
2790705,955038
2790706,100693
1944312,95392
1922210,94096
2070280,94042
2114680,92339
2066120,2047732
2052405,1090652
2077051,954279
1937850,93393
1946790,1084900
1930921,93320
1927043,92999
2051906,95088
1921843,88657
2066216,1089219
1920921,95112
1926491,95308
2077810,94208
2077811,1884030
1927581,95099
1928564,98245
2052851,95157
1928404,94932
2068625,954032
1927578,93687
1928421,94606
1927587,954536
379319,95778
1922223,95036
1941481,95039
2392982,101135
1939268,104765
2258652,101269
